0x12B: "Predictive Windshear System Sensor"
0x12C: "Angle of Attack Sensor"
0x12D: "Logic Drive Control Computer"
0x12E: "Cargo Control Logic Unit"
0x12F: "Cargo Electronics Interface Unit"
0x130: "Load Management Unit (LMU) Airbus"
0x136: "Audio Management System"
0x13A: "Full Authority Engine Control (P&W)"
0x13B: "Audio Entertainment System (AES) Controller"
0x13C: "Boarding Music Machine"
0x13D: "Passenger In Flight Info Unit"
0x13E: "Video Interface Unit"
0x13F: "Camera Interface Unit"
0x140: "Supersonic Air Data Computer"
0x141: "Satellite RF Unit"
0x142: "ADS-B Link Display c-16 Processor Unit (LPDU)"
0x143: "Vertical/Horizontal Gyro"
0x144: "CDTI Display Unit"
0x14A: "Slide Slip Angle (SSA)"
0x150: "AIMS Gen. Pur. Bus #1"
0x151: "AIMS Gen. Pur. Bus #2"
0x152: "AIMS Digital Comm. Mgmt."
0x153: "AIMS Gen. Pur. Bus #3"
0x154: "Central Maintenance Computer"
0x155: "AIMS EFIS Control Panel"
0x156: "AIMS Display Unit"
0x157: "AIMS Cursor Control Device"
0x158: "AIMS General Purpose Bus #4"
0x15A: "Flight Data Interface Unit"
0x15C: "Flight Control Primary Computer"
0x15D: "Flight Control Secondary Computer"
0x15E: "Flight Mgmt Guidance Env Comp"
0x160: "Special Fuel Quan. Sys."
0x167: "Air Traffic Service Unit"
0x168: "Integ Standby Instr System"
0x169: "Data Link Control and Display Unit"
0x16A: "Display Unit"
0x16B: "Display Management Computer"
0x16C: "Head-Up Display Computer"
0x16D: "ECAM Control Panel"
0x16E: "Clock"
0x16F: "Cabin Interphone System"
0x170: "Radio Tuning Panel"
0x171: "Electronic Flight Bag"
0x17A: "Cabin Ventilation Controller"
0x17B: "Smoke Detection Control Unit"
0x17C: "Proximity Sensor Control Unit"
0x18A: "Audio Control Panel"
0x18B: "Cockpit Voice recorder"
0x18C: "Passenger Entertainment Sys Main MUX"
0x18D: "Passenger Entertainment Sys Audio Repro."
0x18E: "Pre-recorded Announcement Music Repro."
0x18F: "Video Control Unit (A330/A340)"
0x19F: "Cade Environment System"
0x1E2: "ADS-c-12 B LDPU Controller"
0x200: "Versatile Integrated Avionics Unit"
0x201: "Electronic Spoiler Control Unit"
0x202: "Brake Control Unit"
0x203: "Pneumatic Overheat Detection Unit"
0x204: "Proximity Switch Electronics Unit"
0x205: "APU Electronic Control Unit"
0x206: "Aircraft Interface Unit"
0x207: "Fuel Quantity Gauging Unit"
0x241: "High Power Amplifier"
0x341: "Satellite ACU c-11"
